Дата;Май 2020 г.;Июнь 2020 г.;Июль 2020 г.;Август 2020 г.;Сентябрь 2020 г.;Октябрь 2020 г.;Ноябрь 2020 г.;Декабрь 2020 г.;Январь 2021 г.;Февраль 2021 г.;Март 2021 г.;Апрель 2021 г.;Май 2021 г.;Июнь 2021 г.;Июль 2021 г.;Август 2021 г.;Сентябрь 2021 г.;Октябрь 2021 г.;Ноябрь 2021 г.;Декабрь 2021 г.;Январь 2022 г.;Февраль 2022 г.;Март 2022 г.;Апрель 2022 г.;Май 2022 г.;Июнь 2022 г.;Июль 2022 г.;Август 2022 г.;Сентябрь 2022 г.;Октябрь 2022 г.;Ноябрь 2022 г.;Декабрь 2022 г.;Январь 2023 г.;Февраль 2023 г.;Март 2023 г.;Апрель 2023 г.;Май 2023 г.;Июнь 2023 г.;;;;;;;;;;
Актау;1;0;0;1;0;2;0;5;9;37;68;77;69;110;83;80;83;86;63;65;63;58;54;60;63;82;79;82;105;91;105;85;63;68;55;50;73;64;;;;;;;;;;
Актюбинск;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;3;4;4;4;21;33;60;52;89;98;109;102;143;142;138;163;145;149;109;151;141;149;149;;;;;;;;;;
Алматы;6;2;2;5;6;9;2;7;3;37;104;131;164;206;206;201;239;242;208;220;202;325;347;378;399;432;350;389;340;291;345;289;282;287;275;277;257;311;;;;;;;;;;
Астана;0;0;0;0;0;6;7;12;10;14;76;93;84;104;91;100;108;91;111;95;89;97;133;136;199;229;206;241;200;216;228;193;177;176;191;162;179;187;;;;;;;;;;
Атырау;0;0;0;0;0;15;42;64;83;98;157;186;153;164;212;162;176;176;181;187;177;228;259;273;291;310;296;369;411;370;430;409;366;329;395;366;351;368;;;;;;;;;;
Караганда, Улытау;0;0;0;0;0;20;57;107;193;343;446;528;500;586;544;617;607;604;612;421;351;354;377;507;440;468;376;394;369;378;364;350;296;301;318;277;400;309;;;;;;;;;;
Каскелен;0;0;0;0;0;0;2;0;0;1;2;1;25;27;16;20;22;22;26;29;17;38;30;36;30;37;37;46;48;24;46;42;76;75;82;77;73;74;;;;;;;;;;
Кокшетау;0;0;0;0;0;0;0;0;1;10;10;12;7;16;14;13;15;8;13;13;9;13;26;27;38;51;32;44;74;58;58;65;76;74;73;70;72;67;;;;;;;;;;
Костанай;0;0;0;0;0;0;4;26;90;131;181;186;170;179;202;227;200;199;187;197;178;241;239;221;239;237;237;240;221;257;265;231;167;220;327;219;153;164;;;;;;;;;;
Кызылорда;1;0;0;0;0;0;0;2;7;47;39;55;56;65;45;53;48;46;61;41;60;38;44;37;38;34;34;29;44;38;56;60;53;48;46;37;41;39;;;;;;;;;;
Павлодар, Аксу;0;0;0;0;0;0;2;1;0;3;6;13;13;18;16;27;23;28;26;16;16;26;29;30;50;91;62;59;89;74;67;81;98;69;101;94;125;130;;;;;;;;;;
Петропавловск;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;1;10;12;31;14;11;20;15;19;24;29;70;50;51;41;46;35;43;74;94;73;76;99;;;;;;;;;;
Талдыкорган;1;2;0;0;0;1;1;1;2;1;0;2;16;26;36;30;37;67;69;57;67;87;101;102;148;175;114;92;95;112;117;116;76;71;73;58;96;79;;;;;;;;;;
Тараз;1;0;0;0;0;0;0;1;0;0;0;3;0;2;32;23;20;19;9;18;14;43;52;73;65;48;35;47;75;21;21;17;18;15;19;21;23;20;;;;;;;;;;
Туркестан;0;0;0;0;0;1;0;0;1;6;4;5;11;6;2;14;18;6;6;12;11;34;22;68;60;27;18;14;24;10;25;22;34;91;76;35;33;22;;;;;;;;;;
Уральск;0;0;0;0;0;0;0;1;0;0;14;39;22;31;36;30;37;42;42;30;32;26;28;24;17;2;17;83;10;12;10;10;15;9;17;18;13;10;;;;;;;;;;
Усть-Каменогорск, Семей;0;0;0;0;0;0;0;0;0;4;0;1;4;4;5;6;4;9;9;3;5;6;10;14;12;17;13;17;14;11;10;14;16;12;19;13;13;5;;;;;;;;;;
Шымкент;1;0;1;3;3;3;0;1;2;7;7;7;14;12;6;17;24;8;10;42;68;77;49;79;78;31;22;23;28;21;27;26;47;40;20;28;21;25;;;;;;;;;;
Итого по Столбцам;11;4;3;9;9;57;117;228;404;740;1115;1340;1308;1556;1547;1624;1675;1669;1668;1481;1403;1771;1867;2173;2289;2409;2100;2362;2340;2163;2383;2190;2052;2068;2332;2016;2148;2122;;;;;;;;;;
